model_name,base_clock,turbo_clock,NBS_score
AMD A8-3500M,GHz,GHz,0 / 10
AMD A4-3305MX,GHz,GHz,0 / 10
Intel Core i7-3610QM,GHz,GHz,0 / 10
Intel Core i5-3210M,GHz,GHz,0 / 10
AMD A6-4400M,GHz,GHz,0 / 10
Intel Core i7-3720QM,GHz,GHz,0 / 10
AMD A8-4500M,GHz,GHz,0 / 10
Intel Core i5-4200M,GHz,GHz,0 / 10
Intel Core M-5Y70,GHz,GHz,0 / 10
Intel Core M-5Y70,GHz,GHz,0 / 10
Intel Atom Z3735F,GHz,GHz,0 / 10
AMD Athlon Silver 3050e,GHz,GHz,0 / 10
Intel Core i7-11370H,GHz,GHz,0 / 10
AMD Ryzen 5 PRO 4650U,GHz,GHz,0 / 10
Intel Core i5-10310U,GHz,GHz,0 / 10
Intel Core i7-11370H,GHz,GHz,0 / 10
Intel Core i7-3612QM,GHz,GHz,0 / 10
Intel Core i5-4200M,GHz,GHz,0 / 10
Intel? Celeron? Processor 2955U,GHz,GHz,0 / 10
Intel® Core i5-6300U Processor,GHz,GHz,0 / 10
AMD Ryzen PRO 5 2500U,GHz,GHz,0 / 10
Intel Core i9-13980HX,2.20 GHz,5.60 GHz,10 / 10
Intel Core i9-13950HX,1.60 GHz,5.50 GHz,9.81 / 10
Intel Core i9-13900HX,2.20 GHz,5.40 GHz,9.2 / 10
Intel Core i9-13900HK,2.60 GHz,5.40 GHz,7.72 / 10
Intel Core i9-13900H,2.60 GHz,5.40 GHz,7.48 / 10
Intel Core i9-12900HX,3.6 GHz,5 GHz,7.18 / 10
Intel Core i7-12800HX,3.4 GHz,4.8 GHz,6.81 / 10
Intel Core i7-13800H,2.50 GHz,5.20 GHz,6.48 / 10
Intel Core i7-13700H,2.40 GHz,5.00 GHz,6.03 / 10
Intel Core i9-12950HX,3.6 GHz,5 GHz,5.92 / 10
Intel Core i9-12900HK,3.8 GHz,5 GHz,5.71 / 10
Intel Core i9-12900H,3.8 GHz,5 GHz,5.47 / 10
Intel Core i7-12700H,3.5 GHz,4.7 GHz,5.22 / 10
AMD Ryzen 9 6900HX,3.3 GHz,4.9 GHz,4.61 / 10
AMD Ryzen 9 6900HS,3.3 GHz,4.9 GHz,4.52 / 10
Intel Core i7-12800H,3.7 GHz,4.8 GHz,4.47 / 10
AMD Ryzen 7 6800H,3.2 GHz,4.7 GHz,4.38 / 10
Intel Core i9-11900H,2.5 GHz,4.9 GHz,4.36 / 10
AMD Ryzen 9 5980HX,3.3 GHz,4.8 GHz,4.33 / 10
Intel Core i9-11980HK,2.6 GHz,5 GHz,4.33 / 10
Intel Core i7-1280P,1.3 GHz,4.8 GHz,4.25 / 10
AMD Ryzen 9 5900HX,3.3 GHz,4.6 GHz,4.22 / 10
Intel Core i5-12500H,3.3 GHz,4.5 GHz,4.21 / 10
AMD Ryzen 9 5980HS,3 GHz,4.8 GHz,4.19 / 10
Apple M2 Max,2.42 GHz,3.48 GHz,4.17 / 10
Apple M2 Pro 12 Core,2.42 GHz,3.48 GHz,4.16 / 10
AMD Ryzen 9 5900HS,3.3 GHz,4.6 GHz,4.11 / 10
AMD Ryzen 7 5800H,3.2 GHz,4.4 GHz,4.04 / 10
AMD Ryzen 7 6800HS,3.2 GHz,4.7 GHz,4 / 10
Intel Core i7-11800H,2.3 GHz,4.6 GHz,3.9 / 10
AMD Ryzen 9 4900H,3.3 GHz,4.4 GHz,3.88 / 10
AMD Ryzen 9 4900HS,3 GHz,4.3 GHz,3.75 / 10
Intel Core i7-12650H,3.5 GHz,4.7 GHz,3.75 / 10
AMD Ryzen 7 4800H,2.9 GHz,4.2 GHz,3.73 / 10
Intel Core i5-12450H,3.3 GHz,4.4 GHz,3.61 / 10
Intel Core i7-1260P,2.20 GHz,5.00 GHz,3.5 / 10
Intel Core i9-10980HK,2.4 GHz,5.3 GHz,3.49 / 10
Intel Core i7-11600H,2.9 GHz,4.6 GHz,3.49 / 10
AMD Ryzen 7 4800HS,2.90 GHz,4.20 GHz,3.42 / 10
Intel Core i7-1270P,1.6 GHz,4.8 GHz,3.41 / 10
Intel Core i7-1370P,1.90 GHz,5.20 GHz,3.41 / 10
Apple M1 Pro 10-Core,2.1 GHz,3.4 GHz,3.4 / 10
Apple M1 Max,2.1 GHz,4 GHz,3.4 / 10
